,JR1403.CZC,JR1405.CZC,JR1407.CZC,JR1409.CZC,JR1411.CZC,JR1501.CZC,JR1503.CZC,JR1505.CZC,JR1507.CZC,JR1509.CZC,JR1511.CZC,JR1601.CZC,JR1603.CZC,JR1605.CZC,JR607.CZC,JR609.CZC,JR611.CZC,JR701.CZC,JR703.CZC,JR705.CZC,JR707.CZC,JR709.CZC,JR711.CZC,JR801.CZC,JR803.CZC,JR805.CZC,JR807.CZC,JR809.CZC,JR811.CZC,JR901.CZC,JR903.CZC,WSet: quota exceeded.
2013-11-18,1334.0,26818.0,158.0,2378.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-19,46.0,10134.0,2.0,564.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-20,48.0,3126.0,0.0,270.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-21,36.0,1052.0,0.0,70.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-22,40.0,3892.0,0.0,172.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-25,2.0,3622.0,0.0,484.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-26,4.0,2110.0,2.0,80.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-27,74.0,3926.0,0.0,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-28,8.0,738.0,0.0,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-29,0.0,710.0,2.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-02,6.0,340.0,0.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-03,0.0,426.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-04,4.0,466.0,0.0,86.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-05,24.0,1378.0,0.0,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-06,2.0,1566.0,0.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-09,0.0,384.0,0.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-10,0.0,860.0,0.0,110.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-11,0.0,2210.0,0.0,148.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-12,0.0,1306.0,0.0,40.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-13,0.0,4158.0,0.0,84.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-16,0.0,994.0,0.0,26.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-17,0.0,742.0,0.0,26.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-18,0.0,442.0,0.0,28.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-19,10.0,292.0,0.0,26.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-20,6.0,396.0,0.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-23,8.0,252.0,2.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-24,2.0,314.0,0.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-25,0.0,660.0,0.0,24.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-26,0.0,450.0,62.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-27,2.0,58.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-30,26.0,36.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,0.0,156.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,2.0,212.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-03,100.0,348.0,0.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-06,0.0,160.0,0.0,74.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-07,2.0,204.0,0.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-08,36.0,202.0,0.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-09,0.0,186.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-10,0.0,90.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-13,0.0,124.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-14,0.0,212.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-15,0.0,220.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-16,0.0,170.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-17,0.0,206.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-20,0.0,112.0,0.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-21,2.0,190.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-22,2.0,296.0,0.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-23,0.0,400.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-24,0.0,678.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-27,0.0,272.0,0.0,6.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-28,0.0,574.0,0.0,36.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-29,0.0,116.0,0.0,10.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-30,0.0,90.0,0.0,40.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-07,0.0,80.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-10,0.0,36.0,0.0,4.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-11,0.0,76.0,2.0,0.0,4.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-12,0.0,100.0,0.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-13,0.0,364.0,0.0,58.0,0.0,326.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-14,0.0,114.0,0.0,0.0,6.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-17,0.0,108.0,0.0,4.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-18,10.0,92.0,0.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-19,2.0,1156.0,0.0,66.0,12.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-20,0.0,206.0,0.0,18.0,12.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-21,2.0,60.0,0.0,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-24,0.0,238.0,0.0,46.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-25,0.0,418.0,0.0,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-26,2.0,750.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-27,0.0,244.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-28,6.0,84.0,0.0,2.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-03,0.0,316.0,4.0,50.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-04,0.0,266.0,0.0,72.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-05,0.0,98.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-06,0.0,36.0,0.0,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-07,2.0,24.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-10,0.0,580.0,0.0,30.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-11,0.0,366.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-12,6.0,106.0,0.0,28.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-13,0.0,36.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-14,80.0,84.0,0.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-17,,64.0,0.0,132.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-18,,116.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-19,,30.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-20,,44.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-21,,122.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-24,,232.0,0.0,14.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-25,,330.0,0.0,50.0,30.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-26,,276.0,0.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-27,,70.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-28,,88.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,,6.0,0.0,12.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-01,,82.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-02,,64.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-03,,12.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-04,,50.0,0.0,32.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-08,,6.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-09,,98.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-10,,46.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-11,,334.0,0.0,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-14,,56.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-15,,92.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-16,,188.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-17,,238.0,0.0,4.0,0.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-18,,26.0,0.0,14.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-21,,2366.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-22,,88.0,0.0,200.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-23,,218.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-24,,4.0,6.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-25,,222.0,0.0,26.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-28,,18.0,0.0,12.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-29,,2.0,0.0,48.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-30,,26.0,0.0,18.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-05,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-06,,4.0,0.0,40.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-07,,0.0,0.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-08,,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-09,,26.0,0.0,12.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-12,,2.0,0.0,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-13,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-14,,66.0,0.0,14.0,4.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-15,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-16,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-19,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-20,,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-21,,,0.0,2.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-22,,,0.0,6.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-23,,,0.0,4.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-26,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-27,,,0.0,12.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-28,,,0.0,12.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-29,,,0.0,78.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-30,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-03,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-04,,,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-05,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-06,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-09,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-10,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-11,,,0.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-12,,,0.0,70.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-13,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-16,,,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-17,,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-18,,,0.0,2.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-19,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-20,,,0.0,12.0,12.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-23,,,0.0,22.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-24,,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-25,,,0.0,18.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-26,,,0.0,8.0,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-27,,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-01,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-02,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-03,,,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-04,,,0.0,98.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-07,,,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-08,,,0.0,6.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-09,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-10,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-11,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-14,,,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-15,,,,2.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-16,,,,8.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-17,,,,6.0,0.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-18,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-21,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-22,,,,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-23,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-24,,,,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-25,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-28,,,,16.0,10.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-29,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-30,,,,0.0,4.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-31,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-01,,,,8.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-04,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-05,,,,0.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-06,,,,0.0,0.0,24.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-07,,,,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-08,,,,14.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-11,,,,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-12,,,,0.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-13,,,,10.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-14,,,,0.0,0.0,12.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-15,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-18,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-19,,,,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-20,,,,4.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-21,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-22,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-25,,,,0.0,0.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-26,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-27,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-28,,,,14.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-29,,,,0.0,0.0,30.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-01,,,,0.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-02,,,,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-03,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-04,,,,0.0,0.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-05,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-09,,,,0.0,0.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-10,,,,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-11,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-12,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-15,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-16,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-17,,,,,0.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-18,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-19,,,,,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
